rrc_lease_id,abstract_label
20649,A-36
12303,A-52
19299,A-186
21053,A-179
18971,A-177
15916,A-45
16029,A-426
21530,A-283
20429,A-265
17236,A-236
12318,A-35
294684,A-130
10127,A-482
15489,A-67
9821,A-112
20308,A-30
12471,A-7
12570,A-216
16986,A-247
17313,A-36
17121,A-230
18595,A-252
19179,A-155
296559,A-290
20309,A-517
291046,A-456
20292,A-261
20569,A-112
20554,A-261
20052,A-228
291714,A-9
20366,A-210
15249,A-474
21051,A-179
17425,A-30
19908,A-401
296598,A-26
292423,A-233
292561,A-228
18250,A-266
20339,A-30
16964,A-266
20601,A-426
19670,A-30
21435,A-244
21278,A-270
295967,A-474
20481,A-119
18051,A-228
21253,A-261
12704,A-374
20798,A-513
296444,A-290
20041,A-30
20348,A-30
296120,A-130
5411,A-60
16997,A-197
12013,A-466
12558,A-12
20403,A-177
21254,A-261
17483,A-354
20406,A-177
21277,A-270
298705,A-177
19907,A-401
20229,A-199
21048,A-179
16360,A-144
291705,A-9
20032,A-228
11844,A-26
294429,A-144
18909,A-266
293671,A-247
15845,A-9
17367,A-144
20494,A-67
20472,A-197
20475,A-197
20619,A-473
20632,A-518
17394,A-464
294028,A-321
10607,A-396
20915,A-4
16712,A-9
17051,A-177
17364,A-518
19982,A-177
291706,A-9
19658,A-30
16612,A-9
19952,A-396
21517,A-45
298703,A-177
19904,A-144
292455,A-266
21005,A-27
19966,A-45
20650,A-36
17402,A-136
20307,A-30
16475,A-1
292675,A-275
12520,A-4
15866,A-45
20029,A-30
12393,A-66
12458,A-474
20699,A-9
20721,A-9
21054,A-179
20762,A-41
21640,A-4
18336,A-112
20115,A-104
12424,A-89
16227,A-517
10561,A-29
19377,A-517
21399,A-358
17651,A-36
21433,A-244
12241,A-475
20230,A-199
12311,A-52
19474,A-177
19466,A-11
294956,A-146
20372,A-238
16365,A-244
12161,A-52
292373,A-1
20261,A-261
15938,A-45
20916,A-4
12803,A-9
19971,A-418
21276,A-270
21049,A-179
17033,A-177
21148,A-150
20284,A-277
21573,A-349
17329,A-99
20592,A-110
18019,A-454
21128,A-474
20102,A-473
20781,A-244
19796,A-301
20602,A-426
16995,A-69
20479,A-119
15965,A-517
18790,A-228
9032,A-88
21138,A-513
17465,A-69
20218,A-199
17171,A-247
12430,A-89
18201,A-177
298717,A-177
293618,A-247
296448,A-475
21050,A-179
21134,A-321
20652,A-36
12204,A-150
19799,A-301
19686,A-155
20317,A-30
20485,A-223
10274,A-21
16627,A-418
11310,A-271
20262,A-261
19465,A-11
19935,A-144
295616,A-289
12229,A-35
20631,A-518
18700,A-535
19622,A-356
17745,A-244
17307,A-36
12802,A-9
11882,A-96
294430,A-247
12429,A-89
20879,A-144
17468,A-223
21432,A-244
292688,A-233
16781,A-71
21352,A-358
18037,A-244
17766,A-369
292597,A-473
12556,A-12
20327,A-30
20042,A-30
19787,A-265
21023,A-112
20750,A-146
298716,A-177
291780,A-284
20297,A-137
19640,A-6
12709,A-374
20454,A-324
20596,A-110
12392,A-66
20751,A-146
12214,A-52
21366,A-11
17320,A-9
21136,A-79
19651,A-30
296078,A-130
16414,A-473
17423,A-30
19242,A-228
20371,A-238
15376,A-369
292378,A-426
19643,A-357
21397,A-11
20764,A-41
291704,A-9
291248,A-290
19382,A-155
19300,A-186
12530,A-387
20033,A-137
294737,A-9
20775,A-348
15789,A-67
287779,A-301
11997,A-4
292608,A-473
20476,A-197
16430,A-535
16929,A-30
19948,A-371
12443,A-7
12395,A-66
20568,A-112
15720,A-9
18609,A-144
12427,A-89
292508,A-266
292375,A-1
21108,A-144
19486,A-177
15641,A-27
16971,A-266
294879,A-130
15253,A-178
20698,A-9
21146,A-150
16030,A-177
291790,A-284
18675,A-146
20477,A-223
20100,A-41
21275,A-270
21129,A-474
292360,A-426
298718,A-177
12769,A-233
11968,A-485
172244,A-396
291778,A-473
291781,A-144
20116,A-104
11132,A-396
20708,A-49
20478,A-197
295940,A-517
293229,A-89
294925,A-144
21006,A-27
15394,A-268
20360,A-210
16667,A-374
20412,A-177
12685,A-474
18173,A-87
291237,A-280
17581,A-257
20774,A-348
15427,A-266
21369,A-11
21488,A-277
17381,A-177
21301,A-178
18353,A-112
20799,A-244
296838,A-459
20697,A-9
19906,A-401
18799,A-396
12809,A-9
18153,A-71
11673,A-540
20495,A-67
17496,A-245
17656,A-229
17536,A-4
20374,A-238
17160,A-36
21641,A-4
19789,A-265
16024,A-476
21543,A-283
18251,A-396
18970,A-177
17356,A-69
20034,A-137
17273,A-247
20058,A-277
20363,A-146
20692,A-341
19241,A-228
5502,A-193
12162,A-52
21143,A-79
19579,A-6
20488,A-9
12528,A-4
19707,A-6
10853,A-456
20401,A-177
20790,A-348
20880,A-144
19915,A-45
15918,A-178
17016,A-155
17054,A-444
15849,A-186
17437,A-4
12203,A-150
19899,A-144
12224,A-35
16973,A-110
20107,A-4
12250,A-35
13600,A-209
16258,A-189
15576,A-128
21156,A-247
16976,A-69
17286,A-210
20966,A-7
20827,A-186
20101,A-41
15453,A-228
12216,A-52
21579,A-266
20402,A-177
20024,A-228
20489,A-223
12667,A-346
18822,A-473
15402,A-369
15523,A-426
293933,A-321
19475,A-177
1705,A-307
17403,A-277
16122,A-270
21574,A-349
17382,A-374
297540,A-280
11642,A-474
19462,A-11
20553,A-261
18796,A-396
294683,A-130
21571,A-349
292541,A-233
18616,A-396
20005,A-45
20031,A-228
298704,A-177
21145,A-150
15920,A-473
12232,A-9
19176,A-155
17152,A-9
17084,A-229
16380,A-247
12827,A-245
12557,A-12
17245,A-21
20359,A-210
298822,A-155
17125,A-36
19673,A-6
10762,A-150
18086,A-228
20552,A-261
19347,A-286
291777,A-473
10731,A-271
16562,A-11
293937,A-321
20423,A-265
20763,A-41
19674,A-6
20558,A-27
20899,A-473
12855,A-423
16312,A-286
16910,A-46
12736,A-11
15652,A-46
296555,A-9
20220,A-261
15401,A-27
21107,A-144
20215,A-261
12693,A-474
19099,A-11
15258,A-462
19158,A-150
19644,A-357
15952,A-44
21436,A-244
19653,A-155
20993,A-432
18169,A-87
20428,A-265
17259,A-485
18873,A-11
291779,A-473
11999,A-60
18066,A-244
20103,A-41
21209,A-177
20898,A-473
10256,A-374
15930,A-44
17436,A-9
19664,A-155
17192,A-485
20409,A-177
17870,A-265
20773,A-348
20440,A-265
19991,A-268
17347,A-27
19817,A-137
20255,A-517
21403,A-4
12856,A-423
21359,A-358
19463,A-11
18346,A-112
293934,A-321
16082,A-474
20881,A-144
19384,A-155
11843,A-26
293620,A-247
19479,A-11
11685,A-280
15688,A-4
296357,A-199
17424,A-30
20325,A-261
19074,A-318
21595,A-45
12568,A-216
17244,A-416
16796,A-223
18705,A-473
16789,A-71
21004,A-27
21255,A-261
19902,A-519
17458,A-160
20453,A-324
11526,A-96
19447,A-11
16089,A-242
18643,A-368
20106,A-104
15272,A-443
21181,A-7
19363,A-421
17492,A-144
12201,A-150
20571,A-27
19581,A-373
291222,A-290
292374,A-1
20991,A-27
16107,A-289
12045,A-111
11671,A-540
20332,A-261
17326,A-518
19788,A-265
18874,A-518
20059,A-277
292676,A-275
20894,A-71
295613,A-289
20214,A-261
287780,A-301
15894,A-27
21411,A-99
28040,A-88
20296,A-137
15649,A-445
16255,A-517
10215,A-374
20486,A-223
21085,A-459
291808,A-6
17311,A-391
21406,A-4
12394,A-66
15976,A-71
19819,A-137
294726,A-517
19467,A-11
18992,A-11
15919,A-381
11189,A-386
12428,A-89
16891,A-395
9628,A-39
15509,A-474
20381,A-315
19244,A-233
12706,A-374
21016,A-88
16687,A-137
17482,A-69
16398,A-79
16965,A-180
21215,A-450
291245,A-280
16046,A-474
15494,A-473
