api_clean,well_type
17733825H1,HORIZONTAL
17734631H1,HORIZONTAL
17731767,UNKNOWN
17734322H1,HORIZONTAL
17733610H1,HORIZONTAL
17730710,UNKNOWN
17730947,UNKNOWN
17731602,UNKNOWN
17730522,UNKNOWN
17731871H1,HORIZONTAL
17734611H1,HORIZONTAL
17734613H1,HORIZONTAL
17734612H1,HORIZONTAL
17734614H1,HORIZONTAL
17734202H1,HORIZONTAL
17734207H1,HORIZONTAL
17734315H1,HORIZONTAL
17734012H1,HORIZONTAL
17734222H1,HORIZONTAL
17731644,UNKNOWN
17700022,UNKNOWN
17732039,UNKNOWN
17731025,UNKNOWN
17734639H1,HORIZONTAL
17734640H1,HORIZONTAL
17734608H1,HORIZONTAL
17733900H1,HORIZONTAL
17734558H1,HORIZONTAL
17733283H1,HORIZONTAL
17732079H1,HORIZONTAL
17733689H1,HORIZONTAL
17733767H1,HORIZONTAL
17733766H1,HORIZONTAL
17733768H1,HORIZONTAL
17733982H1,HORIZONTAL
17734189H1,HORIZONTAL
17732377,UNKNOWN
17734187H1,HORIZONTAL
17734188H1,HORIZONTAL
17734232H1,HORIZONTAL
17734194H1,HORIZONTAL
17733043H1,HORIZONTAL
17734183H1,HORIZONTAL
17734184H1,HORIZONTAL
17734529H1,HORIZONTAL
17734120H1,HORIZONTAL
17733786H1,HORIZONTAL
12334345H1,HORIZONTAL
17734324H1,HORIZONTAL
17734325H1,HORIZONTAL
17734323H1,HORIZONTAL
17731919H1,HORIZONTAL
17731057,UNKNOWN
17734553H1,HORIZONTAL
17734554H1,HORIZONTAL
17734615H1,HORIZONTAL
17734556H1,HORIZONTAL
17734557H1,HORIZONTAL
17734062H1,HORIZONTAL
17731493,UNKNOWN
17731620,UNKNOWN
17733628,UNKNOWN
17731336,UNKNOWN
17732154H1,HORIZONTAL
17732025,UNKNOWN
17732638H1,HORIZONTAL
17734090H1,HORIZONTAL
17734459H1,HORIZONTAL
17733961H1,HORIZONTAL
17733977H1,HORIZONTAL
17734123H1,HORIZONTAL
17734206H1,HORIZONTAL
17734204H1,HORIZONTAL
28534086H1,HORIZONTAL
17733901H1,HORIZONTAL
12334662H1,HORIZONTAL
12334664H1,HORIZONTAL
12334373H1,HORIZONTAL
12334663H1,HORIZONTAL
17731617HW,HORIZONTAL
17731617H1,HORIZONTAL
17734223H1,HORIZONTAL
17733650H1,HORIZONTAL
17734292H1,HORIZONTAL
17734013H1,HORIZONTAL
17734014H1,HORIZONTAL
17734321H1,HORIZONTAL
17734316H1,HORIZONTAL
17732803H2,HORIZONTAL
17733156H1,HORIZONTAL
17732902H1,HORIZONTAL
17734009H1,HORIZONTAL
17733503H1,HORIZONTAL
17733785H1,HORIZONTAL
17733469H1,HORIZONTAL
12334778H1,HORIZONTAL
17734355H1,HORIZONTAL
17734356H1,HORIZONTAL
17734357H1,HORIZONTAL
17734006H1,HORIZONTAL
17734358H1,HORIZONTAL
17734405H1,HORIZONTAL
17734298H1,HORIZONTAL
17734007H1,HORIZONTAL
17734253H1,HORIZONTAL
12334351H1,HORIZONTAL
17733293H1,HORIZONTAL
17733902H1,HORIZONTAL
17733911H1,HORIZONTAL
17734028H1,HORIZONTAL
17734296H1,HORIZONTAL
17733630H1,HORIZONTAL
17734518H1,HORIZONTAL
17734294H1,HORIZONTAL
17734295H1,HORIZONTAL
17733806H1,HORIZONTAL
17733807H1,HORIZONTAL
17732418H1,HORIZONTAL
12334776H1,HORIZONTAL
12334777H1,HORIZONTAL
17731882H1,HORIZONTAL
17734365H1,HORIZONTAL
17733841,UNKNOWN
17733955H1,HORIZONTAL
17730888,UNKNOWN
17734020H1,HORIZONTAL
17734122H1,HORIZONTAL
17734019H1,HORIZONTAL
17734291H1,HORIZONTAL
17734572H1,HORIZONTAL
17734138H1,HORIZONTAL
17732461H1,HORIZONTAL
17733884H1,HORIZONTAL
17731961H1,HORIZONTAL
17734571H1,HORIZONTAL
17734217H1,HORIZONTAL
17734252H1,HORIZONTAL
17733815H1,HORIZONTAL
17731808H1,HORIZONTAL
17734231H1,HORIZONTAL
17734249H1,HORIZONTAL
17733926H1,HORIZONTAL
17734230H1,HORIZONTAL
17732676H1,HORIZONTAL
17733908H1,HORIZONTAL
17733943H1,HORIZONTAL
17733944H1,HORIZONTAL
17733942H1,HORIZONTAL
17733962H1,HORIZONTAL
17734011H1,HORIZONTAL
17732149H1,HORIZONTAL
17732122H1,HORIZONTAL
17733925H1,HORIZONTAL
17733365H1,HORIZONTAL
17733968H1,HORIZONTAL
17733922H1,HORIZONTAL
17733219H1,HORIZONTAL
17730676,UNKNOWN
17733927H1,HORIZONTAL
17734449H1,HORIZONTAL
17734559H1,HORIZONTAL
17734218H1,HORIZONTAL
12332785H1,HORIZONTAL
17732196H1,HORIZONTAL
17731143,UNKNOWN
17733975H1,HORIZONTAL
17733985H1,HORIZONTAL
12334353H1,HORIZONTAL
17734264H1,HORIZONTAL
12334567H1,HORIZONTAL
17734220H1,HORIZONTAL
17734282H1,HORIZONTAL
17734624H1,HORIZONTAL
17733632H1,HORIZONTAL
17734625H1,HORIZONTAL
17734626H1,HORIZONTAL
17734629H1,HORIZONTAL
17733634H1,HORIZONTAL
17733631H1,HORIZONTAL
17734627H1,HORIZONTAL
17733981H1,HORIZONTAL
17734597H1,HORIZONTAL
17734106H1,HORIZONTAL
17734609H1,HORIZONTAL
17734234H1,HORIZONTAL
17732880H1,HORIZONTAL
17732778H1,HORIZONTAL
17732738H1,HORIZONTAL
17734286H1,HORIZONTAL
17734139H1,HORIZONTAL
17734209H1,HORIZONTAL
17733950H1,HORIZONTAL
17733087H1,HORIZONTAL
17733875H1,HORIZONTAL
12334781H1,HORIZONTAL
17734211H1,HORIZONTAL
17733938H1,HORIZONTAL
17734235H1,HORIZONTAL
12334779H1,HORIZONTAL
12334780H1,HORIZONTAL
17734219H1,HORIZONTAL
17733468H1,HORIZONTAL
17733472HW,HORIZONTAL
17733061H1,HORIZONTAL
17733008H1,HORIZONTAL
17733303H1,HORIZONTAL
28533834H1,HORIZONTAL
17733062H1,HORIZONTAL
28533832H1,HORIZONTAL
17733058H1,HORIZONTAL
17730389,UNKNOWN
17730701,UNKNOWN
177,UNKNOWN
17730444,UNKNOWN
17730437,UNKNOWN
17731730,UNKNOWN
17730434,UNKNOWN
17730787,UNKNOWN
17731258,UNKNOWN
17730802,UNKNOWN
17732750,UNKNOWN
17731217,UNKNOWN
17730737,UNKNOWN
17731624,UNKNOWN
17731003,UNKNOWN
17730761,UNKNOWN
17730118,UNKNOWN
17730567,UNKNOWN
17732223H1,HORIZONTAL
17730963,UNKNOWN
17731481,UNKNOWN
17700113,UNKNOWN
17700114,UNKNOWN
17730452,UNKNOWN
17780090,UNKNOWN
17731306,UNKNOWN
17731453,UNKNOWN
17734617H1,HORIZONTAL
17731972,UNKNOWN
17731821H1,HORIZONTAL
17700098,UNKNOWN
17700104,UNKNOWN
17700100,UNKNOWN
17731740,UNKNOWN
17730476,UNKNOWN
17730912,UNKNOWN
17731695,UNKNOWN
17731918H1,HORIZONTAL
17730832,UNKNOWN
17731635,UNKNOWN
17730948,UNKNOWN
17730803,UNKNOWN
17732023,UNKNOWN
17733398,UNKNOWN
17730775,UNKNOWN
17732014,UNKNOWN
17732008,UNKNOWN
17731781H1,HORIZONTAL
17732052,UNKNOWN
17731609,UNKNOWN
17731608,UNKNOWN
17731053,UNKNOWN
17731538,UNKNOWN
17731512,UNKNOWN
17731509,UNKNOWN
17700589,UNKNOWN
17731971,UNKNOWN
17731727,UNKNOWN
17731679,UNKNOWN
17731721,UNKNOWN
17731647,UNKNOWN
17780094,UNKNOWN
17730995,UNKNOWN
17731855,UNKNOWN
17732084,UNKNOWN
17730480,UNKNOWN
17730767,UNKNOWN
17731542,UNKNOWN
187,UNKNOWN
17733467HW,HORIZONTAL
17730004,UNKNOWN
17731681,UNKNOWN
17731031,UNKNOWN
17731039,UNKNOWN
17731732,UNKNOWN
17731728,UNKNOWN
17731627,UNKNOWN
17731601,UNKNOWN
17732001,UNKNOWN
17732268H1,HORIZONTAL
17732768H1,HORIZONTAL
17732602H1,HORIZONTAL
17733296H1,HORIZONTAL
17730460,UNKNOWN
17730455,UNKNOWN
17731696,UNKNOWN
17731629,UNKNOWN
17733240H1,HORIZONTAL
17733373H1,HORIZONTAL
17732073,UNKNOWN
17700017,UNKNOWN
17730758,UNKNOWN
17733291H1,HORIZONTAL
17730172,UNKNOWN
17733171H1,HORIZONTAL
17732056,UNKNOWN
17733173H1,HORIZONTAL
17732275H1,HORIZONTAL
17731304,UNKNOWN
17731744,UNKNOWN
17732814H1,HORIZONTAL
17733179H1,HORIZONTAL
17731706,UNKNOWN
17730914,UNKNOWN
17731603,UNKNOWN
17731614,UNKNOWN
17731743,UNKNOWN
17732000,UNKNOWN
17731508,UNKNOWN
17732782H1,HORIZONTAL
17730592,UNKNOWN
17733349H1,HORIZONTAL
17730763,UNKNOWN
17731037,UNKNOWN
17732479H1,HORIZONTAL
17732492H1,HORIZONTAL
17732434H1,HORIZONTAL
17733348H1,HORIZONTAL
17730569,UNKNOWN
17732016,UNKNOWN
17733320H1,HORIZONTAL
17733217H1,HORIZONTAL
17732057,UNKNOWN
17733033H1,HORIZONTAL
17732689H1,HORIZONTAL
17733060H1,HORIZONTAL
17732470H1,HORIZONTAL
17731242,UNKNOWN
17730781,UNKNOWN
17731428,UNKNOWN
17730727,UNKNOWN
17733054,UNKNOWN
17732166H1,HORIZONTAL
17732322H1,HORIZONTAL
17733720H1,HORIZONTAL
17732190H1,HORIZONTAL
17733719H1,HORIZONTAL
17733718H1,HORIZONTAL
17733717H1,HORIZONTAL
17733656H1,HORIZONTAL
17733095H1,HORIZONTAL
17733609H1,HORIZONTAL
17733611H1,HORIZONTAL
17732859H1,HORIZONTAL
17732850H1,HORIZONTAL
17732050,UNKNOWN
17732403H1,HORIZONTAL
17730696,UNKNOWN
17732257H1,HORIZONTAL
17733517H1,HORIZONTAL
17732219H1,HORIZONTAL
17733518H1,HORIZONTAL
17732188H1,HORIZONTAL
17732797H1,HORIZONTAL
17733519H1,HORIZONTAL
17732083H1,HORIZONTAL
17732157H1,HORIZONTAL
17732105H1,HORIZONTAL
17732085H1,HORIZONTAL
17732959H1,HORIZONTAL
17733228H1,HORIZONTAL
17730830,UNKNOWN
17731795HW,HORIZONTAL
17732699H1,HORIZONTAL
17731809H1,HORIZONTAL
17730537,UNKNOWN
17733264H1,HORIZONTAL
17733258H1,HORIZONTAL
17733325H1,HORIZONTAL
17731909H1,HORIZONTAL
17731873H1,HORIZONTAL
17733035H1,HORIZONTAL
17732808H1,HORIZONTAL
17733059H1,HORIZONTAL
17731454,UNKNOWN
17730171,UNKNOWN
17730211,UNKNOWN
17731922H1,HORIZONTAL
17731967,UNKNOWN
17731755,UNKNOWN
17731938,UNKNOWN
17732580H1,HORIZONTAL
17732191H1,HORIZONTAL
17733430H1,HORIZONTAL
17733075H1,HORIZONTAL
17732858H1,HORIZONTAL
17732172H1,HORIZONTAL
12332461H1,HORIZONTAL
17700297,UNKNOWN
17732358H1,HORIZONTAL
17733253H1,HORIZONTAL
17732347H1,HORIZONTAL
17732251H1,HORIZONTAL
17732949H1,HORIZONTAL
17733409H1,HORIZONTAL
17733266H1,HORIZONTAL
17732989H1,HORIZONTAL
17732096H1,HORIZONTAL
17732263H1,HORIZONTAL
17733410H1,HORIZONTAL
17732411H1,HORIZONTAL
17732494H1,HORIZONTAL
17732449H1,HORIZONTAL
17733052H1,HORIZONTAL
17731002,UNKNOWN
17730990,UNKNOWN
17730890,UNKNOWN
17731303,UNKNOWN
17730849,UNKNOWN
17731346,UNKNOWN
17733698H1,HORIZONTAL
17731815H1,HORIZONTAL
17731444,UNKNOWN
17731408,UNKNOWN
17732236H1,HORIZONTAL
12332667H1,HORIZONTAL
17732248H1,HORIZONTAL
17733294H1,HORIZONTAL
17733284H1,HORIZONTAL
17732936H1,HORIZONTAL
17733640H1,HORIZONTAL
17733639H1,HORIZONTAL
17732741H1,HORIZONTAL
17732250H1,HORIZONTAL
17732093H1,HORIZONTAL
17730790,UNKNOWN
17732109H1,HORIZONTAL
17732138H1,HORIZONTAL
17732090H1,HORIZONTAL
17732320H1,HORIZONTAL
17732345H1,HORIZONTAL
17732103H1,HORIZONTAL
17733135H1,HORIZONTAL
17733063H1,HORIZONTAL
17730966,UNKNOWN
17731233,UNKNOWN
17731807H1,HORIZONTAL
17731916H1,HORIZONTAL
17730671,UNKNOWN
17731969H1,HORIZONTAL
17731158,UNKNOWN
17731989H1,HORIZONTAL
17731139,UNKNOWN
17731370,UNKNOWN
17731415,UNKNOWN
17730587,UNKNOWN
17730593,UNKNOWN
17731010,UNKNOWN
17732373H1,HORIZONTAL
17732233H1,HORIZONTAL
12332850H1,HORIZONTAL
12333216H1,HORIZONTAL
17732372H1,HORIZONTAL
12333198H1,HORIZONTAL
17732356H1,HORIZONTAL
17732466H1,HORIZONTAL
12333376H1,HORIZONTAL
17732960H1,HORIZONTAL
17733226H1,HORIZONTAL
17732110H1,HORIZONTAL
17732092H1,HORIZONTAL
17733408H1,HORIZONTAL
17733407H1,HORIZONTAL
17732733H1,HORIZONTAL
17732888H1,HORIZONTAL
17732139H1,HORIZONTAL
17732889H1,HORIZONTAL
17732833H1,HORIZONTAL
17732865H1,HORIZONTAL
17732957H1,HORIZONTAL
17731585DW,DIRECTIONAL
17733499H1,HORIZONTAL
17731917H1,HORIZONTAL
17733725,UNKNOWN
17733221H1,HORIZONTAL
17731869H1,HORIZONTAL
17732938H1,HORIZONTAL
17731920H1,HORIZONTAL
17731462,UNKNOWN
17731547D1,DIRECTIONAL
17733524H1,HORIZONTAL
17733523H1,HORIZONTAL
17733557H1,HORIZONTAL
17733690H1,HORIZONTAL
17732566H1,HORIZONTAL
17732313H1,HORIZONTAL
17733138H1,HORIZONTAL
17733139H1,HORIZONTAL
17733142H1,HORIZONTAL
17732121H1,HORIZONTAL
17700523,UNKNOWN
17732245H1,HORIZONTAL
17732540H1,HORIZONTAL
17732123H1,HORIZONTAL
17732156H1,HORIZONTAL
17732732H1,HORIZONTAL
17732115H1,HORIZONTAL
17730519,UNKNOWN
17732710H1,HORIZONTAL
17732990H1,HORIZONTAL
17732531H1,HORIZONTAL
17733073H1,HORIZONTAL
17730493,UNKNOWN
17732326H1,HORIZONTAL
17733396H1,HORIZONTAL
17733703H1,HORIZONTAL
12333287H1,HORIZONTAL
12333288H1,HORIZONTAL
17733600H1,HORIZONTAL
17732124H1,HORIZONTAL
17732533H1,HORIZONTAL
17732595H1,HORIZONTAL
17732176H1,HORIZONTAL
17732547H1,HORIZONTAL
17732160H1,HORIZONTAL
17732725H1,HORIZONTAL
17730588,UNKNOWN
17732140H1,HORIZONTAL
17700524,UNKNOWN
17732239H1,HORIZONTAL
17732872H1,HORIZONTAL
17732030H1,HORIZONTAL
17732539H1,HORIZONTAL
17733394H1,HORIZONTAL
17732321H1,HORIZONTAL
17731825H1,HORIZONTAL
17732410HW,HORIZONTAL
17732701H1,HORIZONTAL
17731527,UNKNOWN
17730921,UNKNOWN
17730708,UNKNOWN
17731260,UNKNOWN
17730408,UNKNOWN
17732189HW,HORIZONTAL
17731361,UNKNOWN
17730226,UNKNOWN
17732776H1,HORIZONTAL
17731075,UNKNOWN
17733442H1,HORIZONTAL
17732475H1,HORIZONTAL
17732462H1,HORIZONTAL
17732474H1,HORIZONTAL
17732256H1,HORIZONTAL
17732118H1,HORIZONTAL
12332969H1,HORIZONTAL
17732130H1,HORIZONTAL
17732846H1,HORIZONTAL
17732365H1,HORIZONTAL
12333042H1,HORIZONTAL
17732852H1,HORIZONTAL
17732255H1,HORIZONTAL
17732359H1,HORIZONTAL
17732722H1,HORIZONTAL
17732254H1,HORIZONTAL
17732412H1,HORIZONTAL
17730409,UNKNOWN
17730170,UNKNOWN
17730229,UNKNOWN
17732770H1,HORIZONTAL
17733405H1,HORIZONTAL
17731794H1,HORIZONTAL
17731829H1,HORIZONTAL
17733250H1,HORIZONTAL
17733428H1,HORIZONTAL
17733195H1,HORIZONTAL
17731265,UNKNOWN
17731393,UNKNOWN
17730462,UNKNOWN
17731436,UNKNOWN
17731404,UNKNOWN
17732455H1,HORIZONTAL
17732332H1,HORIZONTAL
17732371H1,HORIZONTAL
12333038H1,HORIZONTAL
17732721H1,HORIZONTAL
17732159H1,HORIZONTAL
17732845H1,HORIZONTAL
12333990H1,HORIZONTAL
17732413H1,HORIZONTAL
17733055H1,HORIZONTAL
17733267H1,HORIZONTAL
17732141H1,HORIZONTAL
17733271H1,HORIZONTAL
17733189H1,HORIZONTAL
17732941H1,HORIZONTAL
17730193,UNKNOWN
17732940H1,HORIZONTAL
17731813H1,HORIZONTAL
17731783H1,HORIZONTAL
17733126H1,HORIZONTAL
17732207H1,HORIZONTAL
17730716,UNKNOWN
17730442,UNKNOWN
17732980H1,HORIZONTAL
17733372H1,HORIZONTAL
17733030,UNKNOWN
17732207HW,HORIZONTAL
17732695H1,HORIZONTAL
17732601H1,HORIZONTAL
17733459H1,HORIZONTAL
17732152H1,HORIZONTAL
17733161H1,HORIZONTAL
17733088H1,HORIZONTAL
17732878H1,HORIZONTAL
17732876H1,HORIZONTAL
17732875H1,HORIZONTAL
17733042H1,HORIZONTAL
17732571H1,HORIZONTAL
17732769H1,HORIZONTAL
17731748D1,DIRECTIONAL
17732185HW,HORIZONTAL
17733152H1,HORIZONTAL
17732212H1,HORIZONTAL
17733146H1,HORIZONTAL
17730397,UNKNOWN
17733355H1,HORIZONTAL
17732677H1,HORIZONTAL
17730210,UNKNOWN
17732289,UNKNOWN
17731805H1,HORIZONTAL
17730749,UNKNOWN
17732879H1,HORIZONTAL
17730810,UNKNOWN
17732877H1,HORIZONTAL
17732142H1,HORIZONTAL
17733193H1,HORIZONTAL
17732584H1,HORIZONTAL
17732585H1,HORIZONTAL
17732136H1,HORIZONTAL
17732339H1,HORIZONTAL
17732097H1,HORIZONTAL
17733574H1,HORIZONTAL
12334041H1,HORIZONTAL
17733573H1,HORIZONTAL
17732428H1,HORIZONTAL
17732429H1,HORIZONTAL
17733235,UNKNOWN
17732269HW,HORIZONTAL
17732206HW,HORIZONTAL
17731160,UNKNOWN
17732203HW,HORIZONTAL
17732307,UNKNOWN
17731305,UNKNOWN
17730411,UNKNOWN
17730741,UNKNOWN
17731146,UNKNOWN
17730168,UNKNOWN
17730738,UNKNOWN
17733449H1,HORIZONTAL
17730516,UNKNOWN
17730505H1,HORIZONTAL
17733319H1,HORIZONTAL
17732309H1,HORIZONTAL
17733448H1,HORIZONTAL
17730498HW,HORIZONTAL
17733588H1,HORIZONTAL
17733586H1,HORIZONTAL
17732385H1,HORIZONTAL
17732383H1,HORIZONTAL
17730498H2,HORIZONTAL
17733444H1,HORIZONTAL
17732427H1,HORIZONTAL
12332353H1,HORIZONTAL
17732421H1,HORIZONTAL
17732431H1,HORIZONTAL
17732430H1,HORIZONTAL
17732881H1,HORIZONTAL
17730164,UNKNOWN
17730823,UNKNOWN
17732591H1,HORIZONTAL
17731181,UNKNOWN
17733380H1,HORIZONTAL
17733391H1,HORIZONTAL
17730705,UNKNOWN
17733128H1,HORIZONTAL
17731311,UNKNOWN
17731148,UNKNOWN
17730839,UNKNOWN
17733068H1,HORIZONTAL
17730386,UNKNOWN
